CustomerID,Recency,Frequency,Monetary,R,F,M,RMF,customer_type
12346.0,326,1,77183.6,4,4,1,9,Silver
12347.0,3,182,4310.000000000001,1,1,1,3,Platinum
12348.0,76,31,1797.24,3,3,1,7,Gold
12349.0,19,73,1757.5500000000002,2,2,1,5,Platinum
12350.0,311,17,334.40000000000003,4,4,3,11,Bronze
12352.0,37,85,2506.0400000000004,2,2,1,5,Platinum
12353.0,205,4,89.0,4,4,4,12,Bronze
12354.0,233,58,1079.3999999999999,4,2,2,8,Gold
12355.0,215,13,459.4,4,4,3,11,Bronze
12356.0,23,59,2811.43,2,2,1,5,Platinum
12357.0,34,131,6207.67,2,1,1,4,Platinum
12358.0,2,19,1168.06,1,3,2,6,Gold
12359.0,58,245,6310.030000000001,3,1,1,5,Platinum
12360.0,53,129,2662.06,3,1,1,5,Platinum
12361.0,288,10,189.89999999999998,4,4,4,12,Bronze
12362.0,4,266,5226.23,1,1,1,3,Platinum
12363.0,110,23,552.0,3,3,3,9,Silver
12364.0,8,85,1313.1000000000001,1,2,2,5,Platinum
12365.0,292,22,641.3799999999999,4,3,3,10,Silver
12367.0,5,11,168.89999999999998,1,4,4,9,Silver
12370.0,52,166,3541.94,3,1,1,5,Platinum
12371.0,45,63,1887.96,2,2,1,5,Platinum
12372.0,72,52,1298.0400000000002,3,2,2,7,Gold
12373.0,312,14,364.6,4,4,3,11,Bronze
12374.0,26,33,742.93,2,3,2,7,Gold
12375.0,11,17,457.5,1,4,3,8,Gold
12377.0,316,77,1628.12,4,2,2,8,Gold
12378.0,130,219,4008.62,3,1,1,5,Platinum
12379.0,82,40,852.24,3,3,2,8,Gold
12380.0,22,104,2724.8100000000004,2,1,1,4,Platinum
12381.0,5,87,1845.3100000000004,1,2,1,4,Platinum
12383.0,185,99,1850.5600000000002,4,1,1,6,Gold
12384.0,29,27,585.2700000000001,2,3,3,8,Gold
12386.0,338,10,401.9,4,4,3,11,Bronze
12388.0,16,100,2780.6600000000003,1,1,1,3,Platinum
12390.0,80,32,549.84,3,3,3,9,Silver
12391.0,22,93,439.66,2,2,3,7,Gold
12393.0,73,64,1582.6000000000001,3,2,2,7,Gold
12394.0,64,27,1272.48,3,3,2,8,Gold
12395.0,20,156,3018.63,2,1,1,4,Platinum
12397.0,36,126,2409.9000000000005,2,1,1,4,Platinum
12398.0,46,85,1635.6599999999999,2,2,2,6,Gold
12399.0,120,59,1108.65,3,2,2,7,Gold
12401.0,304,5,84.3,4,4,4,12,Bronze
12402.0,324,11,225.6,4,4,4,12,Bronze
12403.0,50,5,427.7,2,4,3,9,Silver
12405.0,149,54,1710.3900000000003,4,2,1,7,Gold
12406.0,23,105,3415.3,2,1,1,4,Platinum
12407.0,50,77,1708.1199999999997,2,2,1,5,Platinum
